JP;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 1, -2.4, 2.4, 30, 670, 0, 5, "0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x))))" 
0, mujets, central, 0, -2.4, 2.4, 30, 670, 0, 5, "0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x))))" 
0, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))-0.090122342109680176" 
0, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))-0.039561096578836441" 
0, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))-0.058756910264492035" 
0, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))-0.059877339750528336" 
0, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))-0.072959773242473602" 
0, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))-0.1268218457698822" 
0, mujets, down, 1, -2.4, 2.4, 300, 670, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))-0.16655497252941132" 
0, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))-0.045061171054840088" 
0, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))-0.019780548289418221" 
0, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))-0.029378455132246017" 
0, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))-0.029938669875264168" 
0, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))-0.036479886621236801" 
0, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))-0.063410922884941101" 
0, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))-0.083277486264705658" 
0, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))+0.090122342109680176" 
0, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))+0.039561096578836441" 
0, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))+0.058756910264492035" 
0, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))+0.059877339750528336" 
0, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))+0.072959773242473602" 
0, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))+0.1268218457698822" 
0, mujets, up, 1, -2.4, 2.4, 300, 670, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))+0.16655497252941132" 
0, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))+0.045061171054840088" 
0, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))+0.019780548289418221" 
0, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))+0.029378455132246017" 
0, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))+0.029938669875264168" 
0, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))+0.036479886621236801" 
0, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))+0.063410922884941101" 
0, mujets, up, 0, -2.4, 2.4, 300, 670, 0, 5, "(0.968297*((1.+(-(0.000423253*x)))/(1.+(-(0.000504051*x)))))+0.083277486264705658" 
1, mujets, central, 1, -2.4, 2.4, 30, 670, 0, 5, "-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))" 
