JP;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, incl, central, 2, 0, 0.3, 20, 1000, 0, 1, "((0.973234+(0.00055677*x))+(-9.6998e-07*(x*x)))+(5.48472e-10*(x*(x*x)))" 
0, incl, down, 2, 0, 0.3, 20, 1000, 0, 1, "((0.946399+(0.000362524*x))+(-5.60292e-07*(x*x)))+(2.96056e-10*(x*(x*x)))" 
0, incl, up, 2, 0, 0.3, 20, 1000, 0, 1, "((1.00007+(0.000750429*x))+(-1.3785e-06*(x*x)))+(8.0058e-10*(x*(x*x)))" 
0, incl, central, 2, 0.3, 0.6, 20, 1000, 0, 1, "((0.955955+(0.000187321*x))+(-3.94173e-07*(x*x)))+(2.70783e-10*(x*(x*x)))" 
0, incl, down, 2, 0.3, 0.6, 20, 1000, 0, 1, "((0.928946+(6.60682e-05*x))+(-1.17472e-07*(x*x)))+(9.24166e-11*(x*(x*x)))" 
0, incl, up, 2, 0.3, 0.6, 20, 1000, 0, 1, "((0.982966+(0.000308302*x))+(-6.70181e-07*(x*x)))+(4.48893e-10*(x*(x*x)))" 
0, incl, central, 2, 0.6, 0.9, 20, 1000, 0, 1, "((0.931919+(-2.86614e-05*x))+(4.1535e-08*(x*x)))+(1.60207e-11*(x*(x*x)))" 
0, incl, down, 2, 0.6, 0.9, 20, 1000, 0, 1, "((0.905981+(-0.000129997*x))+(2.74866e-07*(x*x)))+(-1.3685e-10*(x*(x*x)))" 
0, incl, up, 2, 0.6, 0.9, 20, 1000, 0, 1, "((0.957857+(7.26725e-05*x))+(-1.91666e-07*(x*x)))+(1.68793e-10*(x*(x*x)))" 
0, incl, central, 2, 0.9, 1.2, 20, 1000, 0, 1, "((0.936649+(0.00030192*x))+(-7.31674e-07*(x*x)))+(5.09129e-10*(x*(x*x)))" 
0, incl, down, 2, 0.9, 1.2, 20, 1000, 0, 1, "((0.910835+(0.000175381*x))+(-4.3539e-07*(x*x)))+(3.12666e-10*(x*(x*x)))" 
0, incl, up, 2, 0.9, 1.2, 20, 1000, 0, 1, "((0.962468+(0.000427961*x))+(-1.02668e-06*(x*x)))+(7.0513e-10*(x*(x*x)))" 
0, incl, central, 2, 1.2, 1.5, 20, 1000, 0, 1, "((0.988547+(0.000237806*x))+(-6.41289e-07*(x*x)))+(5.30266e-10*(x*(x*x)))" 
0, incl, down, 2, 1.2, 1.5, 20, 1000, 0, 1, "((0.960739+(0.000136605*x))+(-3.86937e-07*(x*x)))+(3.51139e-10*(x*(x*x)))" 
0, incl, up, 2, 1.2, 1.5, 20, 1000, 0, 1, "((1.01636+(0.00033854*x))+(-8.94248e-07*(x*x)))+(7.08847e-10*(x*(x*x)))" 
